Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths"
Spain,4/16/2015,1,0
United States of America,4/16/2015,4,1
Mali,4/16/2015,8,6
Sierra Leone,4/16/2015,12223,3865
Nigeria,4/16/2015,20,8
United Kingdom,4/16/2015,1,0
Senegal,4/16/2015,1,0
Liberia,4/16/2015,10042,4486
Guinea,4/16/2015,3566,2348
Guinea,4/17/2015,3569,2351
Nigeria,4/17/2015,20,8
United States of America,4/17/2015,4,1
United Kingdom,4/17/2015,1,0
Senegal,4/17/2015,1,0
Liberia,4/17/2015,10042,4486
Spain,4/17/2015,1,0
Mali,4/17/2015,8,6
Sierra Leone,4/17/2015,12244,3865
United Kingdom,4/20/2015,1,0
Mali,4/20/2015,8,6
Sierra Leone,4/20/2015,12256,3872
Senegal,4/20/2015,1,0
Guinea,4/20/2015,3565,2357
Liberia,4/20/2015,10042,4486
Nigeria,4/20/2015,20,8
Spain,4/20/2015,1,0
United States of America,4/20/2015,4,1
Spain,4/21/2015,1,0
Liberia,4/21/2015,10042,4486
Nigeria,4/21/2015,20,8
Mali,4/21/2015,8,6
Senegal,4/21/2015,1,0
United States of America,4/21/2015,4,1
Guinea,4/21/2015,3565,2358
United Kingdom,4/21/2015,1,0
Sierra Leone,4/21/2015,12265,3877
United Kingdom,4/22/2015,1,0
Spain,4/22/2015,1,0
Sierra Leone,4/22/2015,12267,3877
Mali,4/22/2015,8,6
United States of America,4/22/2015,4,1
Guinea,4/22/2015,3565,2358
Senegal,4/22/2015,1,0
Liberia,4/22/2015,10212,4573
Nigeria,4/22/2015,20,8
Mali,4/23/2015,8,6
United Kingdom,4/23/2015,1,0
Liberia,4/23/2015,10212,4573
Guinea,4/23/2015,3568,2362
Nigeria,4/23/2015,20,8
Spain,4/23/2015,1,0
Sierra Leone,4/23/2015,12294,3885
United States of America,4/23/2015,4,1
Senegal,4/23/2015,1,0
Spain,4/24/2015,1,0
United Kingdom,4/24/2015,1,0
Mali,4/24/2015,8,6
Nigeria,4/24/2015,20,8
United States of America,4/24/2015,4,1
Liberia,4/24/2015,10212,4573
Guinea,4/24/2015,3576,2365
Sierra Leone,4/24/2015,12313,3886
Senegal,4/24/2015,1,0
United Kingdom,4/27/2015,1,0
Spain,4/27/2015,1,0
Mali,4/27/2015,8,6
Liberia,4/27/2015,10212,4573
Nigeria,4/27/2015,20,8
United States of America,4/27/2015,4,1
Sierra Leone,4/27/2015,12362,3895
Guinea,4/27/2015,3585,2374
Senegal,4/27/2015,1,0
Sierra Leone,4/28/2015,12371,3899
Nigeria,4/28/2015,20,8
Guinea,4/28/2015,3584,2377
Senegal,4/28/2015,1,0
United Kingdom,4/28/2015,1,0
Spain,4/28/2015,1,0
United States of America,4/28/2015,4,1
Liberia,4/28/2015,10322,4608
Mali,4/28/2015,8,6
Senegal,4/30/2015,1,0
Guinea,4/30/2015,3581,2381
United States of America,4/30/2015,4,1
Spain,4/30/2015,1,0
United Kingdom,4/30/2015,1,0
Nigeria,4/30/2015,20,8
Mali,4/30/2015,8,6
Sierra Leone,4/30/2015,12387,3901
Liberia,4/30/2015,10322,4608
Sierra Leone,5/1/2015,12398,3901
Mali,5/1/2015,8,6
Nigeria,5/1/2015,20,8
United States of America,5/1/2015,4,1
Guinea,5/1/2015,3578,2383
Senegal,5/1/2015,1,0
Liberia,5/1/2015,10322,4608
United Kingdom,5/1/2015,1,0
Spain,5/1/2015,1,0
United Kingdom,5/4/2015,1,0
Sierra Leone,5/4/2015,12426,3902
Liberia,5/4/2015,10322,4608
Mali,5/4/2015,8,6
Nigeria,5/4/2015,20,8
United States of America,5/4/2015,4,1
Spain,5/4/2015,1,0
Senegal,5/4/2015,1,0
Guinea,5/4/2015,3591,2385
Mali,5/5/2015,8,6
Spain,5/5/2015,1,0
Liberia,5/5/2015,10507,4691
United States of America,5/5/2015,4,1
Nigeria,5/5/2015,20,8
Sierra Leone,5/5/2015,12440,3903
United Kingdom,5/5/2015,1,0
Senegal,5/5/2015,1,0
Guinea,5/5/2015,3589,2386
Guinea,5/6/2015,3589,2386
Liberia,5/6/2015,10564,4716
United Kingdom,5/6/2015,1,0
Nigeria,5/6/2015,20,8
Mali,5/6/2015,8,6
United States of America,5/6/2015,4,1
Sierra Leone,5/6/2015,12440,3903
Senegal,5/6/2015,1,0
Spain,5/6/2015,1,0
Liberia,5/7/2015,10564,4716
Spain,5/7/2015,1,0
Mali,5/7/2015,8,6
Sierra Leone,5/7/2015,12470,3904
United States of America,5/7/2015,4,1
United Kingdom,5/7/2015,1,0
Senegal,5/7/2015,1,0
Guinea,5/7/2015,3592,2387
Nigeria,5/7/2015,20,8
Senegal,5/8/2015,1,0
Spain,5/8/2015,1,0
Sierra Leone,5/8/2015,12492,3904
United States of America,5/8/2015,4,1
Nigeria,5/8/2015,20,8
Liberia,5/8/2015,10564,4716
United Kingdom,5/8/2015,1,0
Mali,5/8/2015,8,6
Guinea,5/8/2015,3592,2387
United Kingdom,5/11/2015,1,0
Guinea,5/11/2015,3599,2391
Senegal,5/11/2015,1,0
United States of America,5/11/2015,4,1
Spain,5/11/2015,1,0
Mali,5/11/2015,8,6
Liberia,5/11/2015,10604,4769
Nigeria,5/11/2015,20,8
Sierra Leone,5/11/2015,12519,3904
Senegal,5/12/2015,1,0
Mali,5/12/2015,8,6
Liberia,5/12/2015,10604,4769
United States of America,5/12/2015,4,1
United Kingdom,5/12/2015,1,0
Sierra Leone,5/12/2015,12523,3904
Nigeria,5/12/2015,20,8
Guinea,5/12/2015,3597,2392
Spain,5/12/2015,1,0
Sierra Leone,5/13/2015,12519,3904
United Kingdom,5/13/2015,1,0
Senegal,5/13/2015,1,0
Nigeria,5/13/2015,20,8
Spain,5/13/2015,1,0
Liberia,5/13/2015,10604,4769
Mali,5/13/2015,8,6
Guinea,5/13/2015,3599,2391
United States of America,5/13/2015,4,1
Nigeria,5/14/2015,20,8
Spain,5/14/2015,1,0
Liberia,5/14/2015,10604,4769
United States of America,5/14/2015,4,1
Mali,5/14/2015,8,6
Guinea,5/14/2015,3615,2399
Senegal,5/14/2015,1,0
United Kingdom,5/14/2015,1,0
Sierra Leone,5/14/2015,12536,3904
Italy,5/14/2015,1,0
Mali,5/15/2015,8,6
Guinea,5/15/2015,3619,2401
Sierra Leone,5/15/2015,12540,3904
Nigeria,5/15/2015,20,8
United Kingdom,5/15/2015,1,0
Italy,5/15/2015,1,0
Spain,5/15/2015,1,0
United States of America,5/15/2015,4,1
Senegal,5/15/2015,1,0
Liberia,5/15/2015,10604,4769
Nigeria,5/18/2015,20,8
Spain,5/18/2015,1,0
Sierra Leone,5/18/2015,12593,3906
United Kingdom,5/18/2015,1,0
Liberia,5/18/2015,10666,4806
Senegal,5/18/2015,1,0
Italy,5/18/2015,1,0
Mali,5/18/2015,8,6
United States of America,5/18/2015,4,1
Guinea,5/18/2015,3626,2405
Mali,5/19/2015,8,6
Italy,5/19/2015,1,0
Guinea,5/19/2015,3635,2407
Sierra Leone,5/19/2015,12632,3907
Spain,5/19/2015,1,0
Nigeria,5/19/2015,20,8
United Kingdom,5/19/2015,1,0
United States of America,5/19/2015,4,1
Liberia,5/19/2015,10666,4806
Senegal,5/19/2015,1,0
Spain,5/20/2015,1,0
United Kingdom,5/20/2015,1,0
Sierra Leone,5/20/2015,12632,3907
Senegal,5/20/2015,1,0
Nigeria,5/20/2015,20,8
Italy,5/20/2015,1,0
Guinea,5/20/2015,3635,2407
Mali,5/20/2015,8,6
Liberia,5/20/2015,10666,4806
United States of America,5/20/2015,4,1
Liberia,5/21/2015,10666,4806
Italy,5/21/2015,1,0
Spain,5/21/2015,1,0
Sierra Leone,5/21/2015,12656,3907
Nigeria,5/21/2015,20,8
Senegal,5/21/2015,1,0
Mali,5/21/2015,8,6
United Kingdom,5/21/2015,1,0
Guinea,5/21/2015,3649,2409
United States of America,5/21/2015,4,1
Spain,5/22/2015,1,0
Mali,5/22/2015,8,6
Liberia,5/22/2015,10666,4806
Italy,5/22/2015,1,0
United States of America,5/22/2015,4,1
Sierra Leone,5/22/2015,12666,3907
Guinea,5/22/2015,3647,2412
Nigeria,5/22/2015,20,8
United Kingdom,5/22/2015,1,0
Senegal,5/22/2015,1,0
Nigeria,5/25/2015,20,8
Italy,5/25/2015,1,0
United Kingdom,5/25/2015,1,0
United States of America,5/25/2015,4,1
Mali,5/25/2015,8,6
Spain,5/25/2015,1,0
Senegal,5/25/2015,1,0
Liberia,5/25/2015,10666,4806
Guinea,5/25/2015,3640,2418
Sierra Leone,5/25/2015,12696,3908
Nigeria,5/26/2015,20,8
Senegal,5/26/2015,1,0
Guinea,5/26/2015,3641,2420
Mali,5/26/2015,8,6
Italy,5/26/2015,1,0
Spain,5/26/2015,1,0
Sierra Leone,5/26/2015,12706,3908
United Kingdom,5/26/2015,1,0
Liberia,5/26/2015,10666,4806
United States of America,5/26/2015,4,1
Mali,5/27/2015,8,6
Italy,5/27/2015,1,0
Guinea,5/27/2015,3641,2420
Nigeria,5/27/2015,20,8
Sierra Leone,5/27/2015,12706,3908
United States of America,5/27/2015,4,1
Liberia,5/27/2015,10666,4806
Spain,5/27/2015,1,0
United Kingdom,5/27/2015,1,0
Senegal,5/27/2015,1,0
Italy,5/28/2015,1,0
Mali,5/28/2015,8,6
United States of America,5/28/2015,4,1
Liberia,5/28/2015,10666,4806
Spain,5/28/2015,1,0
Senegal,5/28/2015,1,0
Nigeria,5/28/2015,20,8
Guinea,5/28/2015,3639,2423
United Kingdom,5/28/2015,1,0
Sierra Leone,5/28/2015,12735,3911
Guinea,5/29/2015,3644,2425
United Kingdom,5/29/2015,1,0
Liberia,5/29/2015,10666,4806
United States of America,5/29/2015,4,1
Italy,5/29/2015,1,0
Sierra Leone,5/29/2015,12745,3911
Nigeria,5/29/2015,20,8
Spain,5/29/2015,1,0
Senegal,5/29/2015,1,0
Mali,5/29/2015,8,6
United Kingdom,6/1/2015,1,0
United States of America,6/1/2015,4,1
Sierra Leone,6/1/2015,12816,3911
Nigeria,6/1/2015,20,8
Spain,6/1/2015,1,0
Senegal,6/1/2015,1,0
Italy,6/1/2015,1,0
Guinea,6/1/2015,3653,2428
Liberia,6/1/2015,10666,4806
Mali,6/1/2015,8,6
Sierra Leone,6/2/2015,12827,3912
Nigeria,6/2/2015,20,8
Senegal,6/2/2015,1,0
Guinea,6/2/2015,3652,2429
Mali,6/2/2015,8,6
United States of America,6/2/2015,4,1
Liberia,6/2/2015,10666,4806
Spain,6/2/2015,1,0
Italy,6/2/2015,1,0
United Kingdom,6/2/2015,1,0
United States of America,6/3/2015,4,1
United Kingdom,6/3/2015,1,0
Senegal,6/3/2015,1,0
Nigeria,6/3/2015,20,8
Sierra Leone,6/3/2015,12827,3912
Italy,6/3/2015,1,0
Guinea,6/3/2015,3652,2429
Spain,6/3/2015,1,0
Mali,6/3/2015,8,6
Liberia,6/3/2015,10666,4806
Guinea,6/4/2015,3657,2431
Sierra Leone,6/4/2015,12850,3912
United States of America,6/4/2015,4,1
Spain,6/4/2015,1,0
Mali,6/4/2015,8,6
Senegal,6/4/2015,1,0
Liberia,6/4/2015,10666,4806
Nigeria,6/4/2015,20,8
United Kingdom,6/4/2015,1,0
Italy,6/4/2015,1,0
United Kingdom,6/5/2015,1,0
Guinea,6/5/2015,3664,2431
Italy,6/5/2015,1,0
United States of America,6/5/2015,4,1
Spain,6/5/2015,1,0
Senegal,6/5/2015,1,0
Liberia,6/5/2015,10666,4806
Nigeria,6/5/2015,20,8
Mali,6/5/2015,8,6
Sierra Leone,6/5/2015,12859,3912
Senegal,6/8/2015,1,0
Nigeria,6/8/2015,20,8
Sierra Leone,6/8/2015,12884,3913
United States of America,6/8/2015,4,1
Spain,6/8/2015,1,0
Guinea,6/8/2015,3669,2435
Liberia,6/8/2015,10666,4806
Italy,6/8/2015,1,0
Mali,6/8/2015,8,6
United Kingdom,6/8/2015,1,0
Sierra Leone,6/9/2015,12901,3915
Spain,6/9/2015,1,0
Liberia,6/9/2015,10666,4806
United States of America,6/9/2015,4,1
United Kingdom,6/9/2015,1,0
Guinea,6/9/2015,3670,2437
Mali,6/9/2015,8,6
Nigeria,6/9/2015,20,8
Senegal,6/9/2015,1,0
Italy,6/9/2015,1,0
Mali,6/10/2015,8,6
United Kingdom,6/10/2015,1,0
Senegal,6/10/2015,1,0
Italy,6/10/2015,1,0
Spain,6/10/2015,1,0
United States of America,6/10/2015,4,1
Liberia,6/10/2015,10666,4806
Guinea,6/10/2015,3670,2437
Nigeria,6/10/2015,20,8
Sierra Leone,6/10/2015,12901,3915
Italy,6/11/2015,1,0
United States of America,6/11/2015,4,1
Guinea,6/11/2015,3674,2440
Spain,6/11/2015,1,0
Mali,6/11/2015,8,6
Nigeria,6/11/2015,20,8
Senegal,6/11/2015,1,0
Liberia,6/11/2015,10666,4806
United Kingdom,6/11/2015,1,0
Sierra Leone,6/11/2015,12911,3917
Liberia,6/12/2015,10666,4806
Guinea,6/12/2015,3677,2440
Nigeria,6/12/2015,20,8
Mali,6/12/2015,8,6
Spain,6/12/2015,1,0
United States of America,6/12/2015,4,1
Sierra Leone,6/12/2015,12932,3917
United Kingdom,6/12/2015,1,0
Italy,6/12/2015,1,0
Senegal,6/12/2015,1,0
Spain,6/15/2015,1,0
United States of America,6/15/2015,4,1
Mali,6/15/2015,8,6
Guinea,6/15/2015,3677,2443
Liberia,6/15/2015,10666,4806
Italy,6/15/2015,1,0
Sierra Leone,6/15/2015,12962,3919
Nigeria,6/15/2015,20,8
United Kingdom,6/15/2015,1,0
Senegal,6/15/2015,1,0
Guinea,6/16/2015,3678,2444
Liberia,6/16/2015,10666,4806
Mali,6/16/2015,8,6
United Kingdom,6/16/2015,1,0
Sierra Leone,6/16/2015,12965,3919
United States of America,6/16/2015,4,1
Senegal,6/16/2015,1,0
Italy,6/16/2015,1,0
Nigeria,6/16/2015,20,8
Spain,6/16/2015,1,0
United States of America,6/17/2015,4,1
Sierra Leone,6/17/2015,12965,3919
Nigeria,6/17/2015,20,8
United Kingdom,6/17/2015,1,0
Italy,6/17/2015,1,0
Senegal,6/17/2015,1,0
Spain,6/17/2015,1,0
Mali,6/17/2015,8,6
Guinea,6/17/2015,3674,2444
Liberia,6/17/2015,10666,4806
Sierra Leone,6/18/2015,12990,3922
Liberia,6/18/2015,10666,4806
United States of America,6/18/2015,4,1
Italy,6/18/2015,1,0
Senegal,6/18/2015,1,0
United Kingdom,6/18/2015,1,0
Spain,6/18/2015,1,0
Nigeria,6/18/2015,20,8
Guinea,6/18/2015,3675,2445
Mali,6/18/2015,8,6
Mali,6/19/2015,8,6
Sierra Leone,6/19/2015,13012,3926
Nigeria,6/19/2015,20,8
Spain,6/19/2015,1,0
United States of America,6/19/2015,4,1
Senegal,6/19/2015,1,0
United Kingdom,6/19/2015,1,0
Italy,6/19/2015,1,0
Liberia,6/19/2015,10666,4806
Guinea,6/19/2015,3674,2446
Liberia,6/22/2015,10666,4806
Spain,6/22/2015,1,0
United Kingdom,6/22/2015,1,0
Italy,6/22/2015,1,0
Guinea,6/22/2015,3698,2456
Sierra Leone,6/22/2015,13051,3928
Mali,6/22/2015,8,6
United States of America,6/22/2015,4,1
Nigeria,6/22/2015,20,8
Senegal,6/22/2015,1,0
Italy,6/23/2015,1,0
Sierra Leone,6/23/2015,13059,3928
Liberia,6/23/2015,10666,4806
United Kingdom,6/23/2015,1,0
Nigeria,6/23/2015,20,8
Senegal,6/23/2015,1,0
United States of America,6/23/2015,4,1
Spain,6/23/2015,1,0
Mali,6/23/2015,8,6
Guinea,6/23/2015,3718,2473
United States of America,6/24/2015,4,1
Sierra Leone,6/24/2015,13059,3928
Senegal,6/24/2015,1,0
United Kingdom,6/24/2015,1,0
Guinea,6/24/2015,3718,2473
Liberia,6/24/2015,10666,4806
Mali,6/24/2015,8,6
Italy,6/24/2015,1,0
Nigeria,6/24/2015,20,8
Spain,6/24/2015,1,0
Nigeria,6/25/2015,20,8
Sierra Leone,6/25/2015,13083,3931
Senegal,6/25/2015,1,0
Mali,6/25/2015,8,6
Spain,6/25/2015,1,0
United Kingdom,6/25/2015,1,0
Liberia,6/25/2015,10666,4806
United States of America,6/25/2015,4,1
Guinea,6/25/2015,3718,2480
Italy,6/25/2015,1,0
Guinea,6/26/2015,3720,2480
Spain,6/26/2015,1,0
Senegal,6/26/2015,1,0
Italy,6/26/2015,1,0
Sierra Leone,6/26/2015,13093,3931
Liberia,6/26/2015,10666,4806
United Kingdom,6/26/2015,1,0
Mali,6/26/2015,8,6
Nigeria,6/26/2015,20,8
United States of America,6/26/2015,4,1
Senegal,6/29/2015,1,0
United Kingdom,6/29/2015,1,0
Nigeria,6/29/2015,20,8
Guinea,6/29/2015,3724,2482
Sierra Leone,6/29/2015,13115,3932
Mali,6/29/2015,8,6
Spain,6/29/2015,1,0
Liberia,6/29/2015,10666,4806
United States of America,6/29/2015,4,1
Italy,6/29/2015,1,0
United Kingdom,6/30/2015,1,0
Mali,6/30/2015,8,6
Liberia,6/30/2015,10666,4806
Sierra Leone,6/30/2015,13119,3932
Italy,6/30/2015,1,0
Senegal,6/30/2015,1,0
Guinea,6/30/2015,3729,2482
Spain,6/30/2015,1,0
Nigeria,6/30/2015,20,8
United States of America,6/30/2015,4,1
Sierra Leone,7/1/2015,13119,3932
Senegal,7/1/2015,1,0
Spain,7/1/2015,1,0
United Kingdom,7/1/2015,1,0
Guinea,7/1/2015,3729,2482
Italy,7/1/2015,1,0
Liberia,7/1/2015,10666,4806
United States of America,7/1/2015,4,1
Nigeria,7/1/2015,20,8
Mali,7/1/2015,8,6
Senegal,7/2/2015,1,0
Italy,7/2/2015,1,0
Liberia,7/2/2015,10666,4806
Guinea,7/2/2015,3745,2490
United States of America,7/2/2015,4,1
Spain,7/2/2015,1,0
Nigeria,7/2/2015,20,8
Mali,7/2/2015,8,6
Sierra Leone,7/2/2015,13129,3933
United Kingdom,7/2/2015,1,0
Liberia,7/3/2015,10666,4806
United Kingdom,7/3/2015,1,0
Nigeria,7/3/2015,20,8
Senegal,7/3/2015,1,0
United States of America,7/3/2015,4,1
Guinea,7/3/2015,3750,2492
Italy,7/3/2015,1,0
Liberia,7/3/2015,40,5
Spain,7/3/2015,1,0
Mali,7/3/2015,8,6
Sierra Leone,7/3/2015,13135,3935
United Kingdom,7/6/2015,1,0
Spain,7/6/2015,1,0
Guinea,7/6/2015,3744,2498
United States of America,7/6/2015,4,1
Liberia,7/6/2015,4,1
Nigeria,7/6/2015,20,8
Mali,7/6/2015,8,6
Sierra Leone,7/6/2015,13150,3940
Senegal,7/6/2015,1,0
Liberia,7/6/2015,10666,4806
Italy,7/6/2015,1,0
Italy,7/7/2015,1,0
Spain,7/7/2015,1,0
Liberia,7/7/2015,4,1
Nigeria,7/7/2015,20,8
United States of America,7/7/2015,4,1
Sierra Leone,7/7/2015,13155,3940
Senegal,7/7/2015,1,0
Liberia,7/7/2015,10666,4806
Guinea,7/7/2015,3748,2499
Mali,7/7/2015,8,6
United Kingdom,7/7/2015,1,0
Nigeria,7/8/2015,20,8
Liberia,7/8/2015,4,1
United States of America,7/8/2015,4,1
Spain,7/8/2015,1,0
Sierra Leone,7/8/2015,13155,3940
Mali,7/8/2015,8,6
United Kingdom,7/8/2015,1,0
Guinea,7/8/2015,3748,2499
Italy,7/8/2015,1,0
Senegal,7/8/2015,1,0
Liberia,7/8/2015,10666,4806
Liberia,7/9/2015,10666,4806
Senegal,7/9/2015,1,0
Nigeria,7/9/2015,20,8
Liberia,7/9/2015,6,1
United Kingdom,7/9/2015,1,0
United States of America,7/9/2015,4,1
Italy,7/9/2015,1,0
Sierra Leone,7/9/2015,13169,3941
Guinea,7/9/2015,3744,2505
Mali,7/9/2015,8,6
Spain,7/9/2015,1,0
Senegal,7/10/2015,1,0
Mali,7/10/2015,8,6
Sierra Leone,7/10/2015,13177,3941
Nigeria,7/10/2015,20,8
Italy,7/10/2015,1,0
Guinea,7/10/2015,3751,2505
Liberia,7/10/2015,6,1
Spain,7/10/2015,1,0
United States of America,7/10/2015,4,1
United Kingdom,7/10/2015,1,0
Liberia,7/10/2015,10666,4806
Nigeria,7/13/2015,20,8
Liberia,7/13/2015,10666,4806
Spain,7/13/2015,1,0
Liberia,7/13/2015,6,1
Senegal,7/13/2015,1,0
Mali,7/13/2015,8,6
United Kingdom,7/13/2015,1,0
United States of America,7/13/2015,4,1
Guinea,7/13/2015,3754,2506
Italy,7/13/2015,1,0
Sierra Leone,7/13/2015,13201,3946
Senegal,7/14/2015,1,0
United Kingdom,7/14/2015,1,0
Liberia,7/14/2015,7,2
Guinea,7/14/2015,3760,2506
Spain,7/14/2015,1,0
Liberia,7/14/2015,10666,4806
Mali,7/14/2015,8,6
Italy,7/14/2015,1,0
United States of America,7/14/2015,4,1
Sierra Leone,7/14/2015,13209,3947
Nigeria,7/14/2015,20,8
Spain,7/15/2015,1,0
Nigeria,7/15/2015,20,8
Italy,7/15/2015,1,0
United Kingdom,7/15/2015,1,0
United States of America,7/15/2015,4,1
Guinea,7/15/2015,3760,2506
Liberia,7/15/2015,10666,4806
Liberia,7/15/2015,7,2
Mali,7/15/2015,8,6
Sierra Leone,7/15/2015,13209,3947
Senegal,7/15/2015,1,0
Mali,7/16/2015,8,6
Italy,7/16/2015,1,0
Guinea,7/16/2015,3762,2506
Liberia,7/16/2015,10666,4806
Spain,7/16/2015,1,0
United Kingdom,7/16/2015,1,0
Senegal,7/16/2015,1,0
United States of America,7/16/2015,4,1
Liberia,7/16/2015,6,2
Sierra Leone,7/16/2015,13209,3947
Nigeria,7/16/2015,20,8
United States of America,7/17/2015,4,1
Liberia,7/17/2015,10666,4806
United Kingdom,7/17/2015,1,0
Guinea,7/17/2015,3770,2509
Italy,7/17/2015,1,0
Nigeria,7/17/2015,20,8
Liberia,7/17/2015,7,2
Mali,7/17/2015,8,6
Spain,7/17/2015,1,0
Senegal,7/17/2015,1,0
Sierra Leone,7/17/2015,13209,3947
Nigeria,7/20/2015,20,8
Liberia,7/20/2015,10666,4806
Senegal,7/20/2015,1,0
Guinea,7/20/2015,3784,2511
United Kingdom,7/20/2015,1,0
United States of America,7/20/2015,4,1
Liberia,7/20/2015,7,2
Italy,7/20/2015,1,0
Sierra Leone,7/20/2015,13241,3949
Mali,7/20/2015,8,6
Spain,7/20/2015,1,0
Liberia,7/21/2015,7,2
Guinea,7/21/2015,3783,2512
United States of America,7/21/2015,4,1
Sierra Leone,7/21/2015,13250,3949
United Kingdom,7/21/2015,1,0
Spain,7/21/2015,1,0
Liberia,7/21/2015,10666,4806
Senegal,7/21/2015,1,0
Mali,7/21/2015,8,6
Nigeria,7/21/2015,20,8
Italy,7/21/2015,1,0
Sierra Leone,7/22/2015,13250,3949
Spain,7/22/2015,1,0
Guinea,7/22/2015,3783,2512
Nigeria,7/22/2015,20,8
Italy,7/22/2015,1,0
Liberia,7/22/2015,6,2
Senegal,7/22/2015,1,0
United States of America,7/22/2015,4,1
Liberia,7/22/2015,10666,4806
Mali,7/22/2015,8,6
United Kingdom,7/22/2015,1,0
United States of America,7/23/2015,4,1
Spain,7/23/2015,1,0
Sierra Leone,7/23/2015,13262,3949
Guinea,7/23/2015,3788,2516
Liberia,7/23/2015,10666,4806
United Kingdom,7/23/2015,1,0
Nigeria,7/23/2015,20,8
Mali,7/23/2015,8,6
Senegal,7/23/2015,1,0
Liberia,7/23/2015,7,2
Italy,7/23/2015,1,0
United States of America,7/24/2015,4,1
Liberia,7/24/2015,7,2
Mali,7/24/2015,8,6
Liberia,7/24/2015,10666,4806
Sierra Leone,7/24/2015,13264,3949
Italy,7/24/2015,1,0
Senegal,7/24/2015,1,0
Guinea,7/24/2015,3787,2517
Nigeria,7/24/2015,20,8
Spain,7/24/2015,1,0
United Kingdom,7/24/2015,1,0
Spain,7/27/2015,1,0
Mali,7/27/2015,8,6
Senegal,7/27/2015,1,0
Nigeria,7/27/2015,20,8
Liberia,7/27/2015,10666,4806
United States of America,7/27/2015,4,1
Guinea,7/27/2015,3792,2519
United Kingdom,7/27/2015,1,0
Italy,7/27/2015,1,0
Liberia,7/27/2015,7,2
Sierra Leone,7/27/2015,13283,3951
United States of America,7/28/2015,4,1
Spain,7/28/2015,1,0
Mali,7/28/2015,8,6
United Kingdom,7/28/2015,1,0
Sierra Leone,7/28/2015,13290,3951
Guinea,7/28/2015,3786,2520
Nigeria,7/28/2015,20,8
Senegal,7/28/2015,1,0
Italy,7/28/2015,1,0
Liberia,7/28/2015,10666,4806
Liberia,7/28/2015,7,2
Nigeria,7/29/2015,20,8
Sierra Leone,7/29/2015,13290,3951
Liberia,7/29/2015,10666,4806
United States of America,7/29/2015,4,1
Senegal,7/29/2015,1,0
Liberia,7/29/2015,6,2
Spain,7/29/2015,1,0
Mali,7/29/2015,8,6
United Kingdom,7/29/2015,1,0
Italy,7/29/2015,1,0
Guinea,7/29/2015,3786,2520
Guinea,7/30/2015,3785,2521
Senegal,7/30/2015,1,0
Spain,7/30/2015,1,0
Mali,7/30/2015,8,6
Sierra Leone,7/30/2015,13379,3951
Nigeria,7/30/2015,20,8
Italy,7/30/2015,1,0
United States of America,7/30/2015,4,1
Liberia,7/30/2015,6,2
United Kingdom,7/30/2015,1,0
Liberia,7/30/2015,10666,4806
Nigeria,7/31/2015,20,8
Senegal,7/31/2015,1,0
United States of America,7/31/2015,4,1
Liberia,7/31/2015,6,2
Sierra Leone,7/31/2015,13387,3951
United Kingdom,7/31/2015,1,0
Guinea,7/31/2015,3781,2521
Spain,7/31/2015,1,0
Italy,7/31/2015,1,0
Liberia,7/31/2015,10666,4806
Mali,7/31/2015,8,6
United Kingdom,8/3/2015,1,0
Liberia,8/3/2015,6,2
Sierra Leone,8/3/2015,13402,3951
Italy,8/3/2015,1,0
United States of America,8/3/2015,4,1
Nigeria,8/3/2015,20,8
Liberia,8/3/2015,10666,4806
Guinea,8/3/2015,3786,2522
Spain,8/3/2015,1,0
Senegal,8/3/2015,1,0
Mali,8/3/2015,8,6
Spain,8/4/2015,1,0
Sierra Leone,8/4/2015,13406,3951
Liberia,8/4/2015,10666,4806
United Kingdom,8/4/2015,1,0
Italy,8/4/2015,1,0
United States of America,8/4/2015,4,1
Senegal,8/4/2015,1,0
Mali,8/4/2015,8,6
Nigeria,8/4/2015,20,8
Guinea,8/4/2015,3784,2522
Liberia,8/4/2015,6,2
Guinea,8/5/2015,3784,2522
Spain,8/5/2015,1,0
Mali,8/5/2015,8,6
Sierra Leone,8/5/2015,13406,3951
Liberia,8/5/2015,10666,4806
Italy,8/5/2015,1,0
Senegal,8/5/2015,1,0
Liberia,8/5/2015,6,2
United States of America,8/5/2015,4,1
United Kingdom,8/5/2015,1,0
Nigeria,8/5/2015,20,8
Spain,8/6/2015,1,0
Guinea,8/6/2015,3792,2524
Senegal,8/6/2015,1,0
Mali,8/6/2015,8,6
Nigeria,8/6/2015,20,8
United Kingdom,8/6/2015,1,0
Sierra Leone,8/6/2015,13426,3951
Liberia,8/6/2015,10666,4806
Liberia,8/6/2015,6,2
United States of America,8/6/2015,4,1
Italy,8/6/2015,1,0
Liberia,8/7/2015,6,2
Spain,8/7/2015,1,0
Sierra Leone,8/7/2015,13428,3951
United States of America,8/7/2015,4,1
Liberia,8/7/2015,10666,4806
Guinea,8/7/2015,3795,2524
Senegal,8/7/2015,1,0
United Kingdom,8/7/2015,1,0
Nigeria,8/7/2015,20,8
Italy,8/7/2015,1,0
Mali,8/7/2015,8,6
Liberia,8/10/2015,6,2
United Kingdom,8/10/2015,1,0
Sierra Leone,8/10/2015,13465,3951
Senegal,8/10/2015,1,0
Liberia,8/10/2015,10666,4806
Spain,8/10/2015,1,0
Guinea,8/10/2015,3791,2524
